date,fp_id,session_count
2019-09-01,0,26
2019-09-01,1,1
2019-09-01,2,1
2019-09-01,3,2
2019-09-01,4,1
2019-09-01,5,1
2019-09-01,6,1
2019-09-01,7,2
2019-09-01,8,2
2019-09-01,9,1
2019-09-01,10,2
2019-09-01,11,2
2019-09-01,12,1
2019-09-01,13,2
2019-09-01,14,1
2019-09-01,15,1
2019-09-01,16,1
2019-09-01,17,16
2019-09-01,18,8
2019-09-01,19,59
2019-09-01,20,1
2019-09-01,21,2
2019-09-01,22,7
2019-09-01,23,1
2019-09-01,24,1
2019-09-01,25,3
2019-09-01,26,1
2019-09-01,27,1
2019-09-02,0,43
2019-09-02,3,3
2019-09-02,5,2
2019-09-02,7,2
2019-09-02,8,2
2019-09-02,10,2
2019-09-02,11,1
2019-09-02,12,1
2019-09-02,13,2
2019-09-02,17,12
2019-09-02,18,9
2019-09-02,19,59
2019-09-02,21,2
2019-09-02,22,5
2019-09-02,25,1
2019-09-02,28,1
2019-09-02,29,2
2019-09-02,30,1
2019-09-02,31,1
2019-09-02,32,1
2019-09-02,33,2
2019-09-02,34,2
2019-09-02,35,1
2019-09-02,36,1
2019-09-03,0,25
2019-09-03,3,1
2019-09-03,7,1
2019-09-03,8,2
2019-09-03,10,2
2019-09-03,11,1
2019-09-03,13,2
2019-09-03,14,2
2019-09-03,17,20
2019-09-03,18,3
2019-09-03,19,56
2019-09-03,20,1
2019-09-03,21,1
2019-09-03,22,6
2019-09-03,24,1
2019-09-03,28,1
2019-09-03,31,1
2019-09-03,37,1
2019-09-03,38,1
2019-09-03,39,1
2019-09-03,40,1
2019-09-03,41,1
2019-09-03,42,1
2019-09-03,43,7
2019-09-03,44,1
2019-09-03,45,1
2019-09-03,46,1
2019-09-03,47,1
2019-09-03,48,1
2019-09-03,49,1
2019-09-03,50,1
2019-09-04,0,27
2019-09-04,3,1
2019-09-04,8,2
2019-09-04,10,4
2019-09-04,11,3
2019-09-04,13,1
2019-09-04,17,18
2019-09-04,18,7
2019-09-04,19,56
2019-09-04,21,2
2019-09-04,22,3
2019-09-04,23,3
2019-09-04,27,1
2019-09-04,31,1
2019-09-04,34,1
2019-09-04,42,1
2019-09-04,43,5
2019-09-04,48,3
2019-09-04,51,1
2019-09-04,52,1
2019-09-04,53,1
2019-09-04,54,1
2019-09-04,55,1
2019-09-04,56,1
2019-09-06,0,37
2019-09-06,3,3
2019-09-06,4,1
2019-09-06,5,4
2019-09-06,7,5
2019-09-06,8,3
2019-09-06,10,1
2019-09-06,11,1
2019-09-06,12,1
2019-09-06,14,1
2019-09-06,16,3
2019-09-06,17,17
2019-09-06,18,10
2019-09-06,19,75
2019-09-06,20,1
2019-09-06,21,47
2019-09-06,22,7
2019-09-06,25,33
2019-09-06,29,1
2019-09-06,33,8
2019-09-06,39,3
2019-09-06,42,9
2019-09-06,43,4
2019-09-06,44,1
2019-09-06,48,35
2019-09-06,49,8
2019-09-06,53,1
2019-09-06,57,1
2019-09-06,58,1
2019-09-06,59,1
2019-09-06,60,1
2019-09-06,61,1
2019-09-06,62,3
2019-09-06,63,1
2019-09-06,64,1
2019-09-06,65,1
2019-09-06,66,1
2019-09-06,67,1
2019-09-06,68,1
2019-09-06,69,3
2019-09-06,70,1
2019-09-06,71,1
2019-09-06,72,1
2019-09-06,73,1
2019-09-06,74,2
2019-09-06,75,10
2019-09-06,76,1
2019-09-06,77,4
2019-09-06,78,17
2019-09-06,79,2
2019-09-06,80,4
2019-09-06,81,2
2019-09-06,82,1
2019-09-06,83,1
2019-09-06,84,7
2019-09-06,85,2
2019-09-06,86,1
2019-09-06,87,3
2019-09-06,88,5
2019-09-06,89,4
2019-09-06,90,1
2019-09-06,91,1
2019-09-06,92,1
2019-09-07,0,45
2019-09-07,3,1
2019-09-07,5,3
2019-09-07,7,18
2019-09-07,10,3
2019-09-07,13,1
2019-09-07,14,1
2019-09-07,16,1
2019-09-07,17,25
2019-09-07,18,7
2019-09-07,19,90
2019-09-07,20,1
2019-09-07,21,34
2019-09-07,22,6
2019-09-07,23,2
2019-09-07,25,30
2019-09-07,31,3
2019-09-07,33,10
2019-09-07,39,1
2019-09-07,42,7
2019-09-07,43,4
2019-09-07,44,2
2019-09-07,48,23
2019-09-07,49,3
2019-09-07,54,1
2019-09-07,58,1
2019-09-07,60,1
2019-09-07,69,4
2019-09-07,70,2
2019-09-07,77,4
2019-09-07,80,3
2019-09-07,84,3
2019-09-07,85,1
2019-09-07,87,4
2019-09-07,88,7
2019-09-07,89,1
2019-09-07,91,2
2019-09-07,93,1
2019-09-07,94,1
2019-09-07,95,1
2019-09-07,96,1
2019-09-07,97,1
2019-09-07,98,2
2019-09-07,99,1
2019-09-07,100,1
2019-09-07,101,2
2019-09-07,102,1
2019-09-07,103,1
2019-09-08,0,37
2019-09-08,3,1
2019-09-08,5,3
2019-09-08,7,6
2019-09-08,8,2
2019-09-08,12,1
2019-09-08,13,1
2019-09-08,16,1
2019-09-08,17,24
2019-09-08,18,9
2019-09-08,19,91
2019-09-08,21,60
2019-09-08,22,6
2019-09-08,25,21
2019-09-08,27,3
2019-09-08,33,10
2019-09-08,42,5
2019-09-08,43,1
2019-09-08,44,2
2019-09-08,48,36
2019-09-08,49,4
2019-09-08,54,1
2019-09-08,58,2
2019-09-08,60,4
2019-09-08,62,5
2019-09-08,69,6
2019-09-08,70,1
2019-09-08,74,2
2019-09-08,78,9
2019-09-08,80,1
2019-09-08,81,3
2019-09-08,84,10
2019-09-08,85,2
2019-09-08,87,3
2019-09-08,88,4
2019-09-08,91,1
2019-09-08,95,1
2019-09-08,98,1
2019-09-08,100,1
2019-09-08,101,2
2019-09-08,104,1
2019-09-08,105,1
2019-09-08,106,1
2019-09-08,107,1
2019-09-08,108,1
2019-09-08,109,2
2019-09-08,110,6
2019-09-08,111,1
2019-09-08,112,1
2019-09-08,113,1
2019-09-08,114,1
2019-09-08,115,1
2019-09-09,0,42
2019-09-09,3,2
2019-09-09,5,8
2019-09-09,7,11
2019-09-09,9,1
2019-09-09,10,2
2019-09-09,13,1
2019-09-09,14,1
2019-09-09,16,2
2019-09-09,17,23
2019-09-09,18,12
2019-09-09,19,80
2019-09-09,20,4
2019-09-09,21,56
2019-09-09,22,6
2019-09-09,23,1
2019-09-09,25,28
2019-09-09,28,1
2019-09-09,29,1
2019-09-09,31,1
2019-09-09,33,11
2019-09-09,42,5
2019-09-09,43,4
2019-09-09,44,3
2019-09-09,48,36
2019-09-09,49,8
2019-09-09,54,1
2019-09-09,60,2
2019-09-09,62,3
2019-09-09,68,2
2019-09-09,69,7
2019-09-09,70,4
2019-09-09,74,1
2019-09-09,78,10
2019-09-09,80,3
2019-09-09,81,1
2019-09-09,85,1
2019-09-09,87,4
2019-09-09,88,7
2019-09-09,89,2
2019-09-09,91,2
2019-09-09,95,1
2019-09-09,98,3
2019-09-09,101,2
2019-09-09,114,1
2019-09-09,116,1
2019-09-09,117,1
2019-09-09,118,1
2019-09-09,119,1
2019-09-09,120,1
2019-09-09,121,2
2019-09-09,122,1
2019-09-09,123,1
2019-09-09,124,1
2019-09-09,125,1
2019-09-09,126,1
2019-09-09,127,1
2019-09-09,128,1
2019-09-09,129,1
2019-09-09,130,1
2019-09-09,131,1
2019-09-09,132,1
2019-09-10,0,54
2019-09-10,5,9
2019-09-10,7,20
2019-09-10,10,3
2019-09-10,13,3
2019-09-10,16,2
2019-09-10,17,11
2019-09-10,18,9
2019-09-10,19,80
2019-09-10,20,2
2019-09-10,21,59
2019-09-10,22,6
2019-09-10,25,26
2019-09-10,27,2
2019-09-10,30,1
2019-09-10,31,1
2019-09-10,33,10
2019-09-10,42,5
2019-09-10,43,2
2019-09-10,44,2
2019-09-10,48,37
2019-09-10,49,4
2019-09-10,57,1
2019-09-10,60,3
2019-09-10,62,2
2019-09-10,69,5
2019-09-10,70,1
2019-09-10,73,1
2019-09-10,74,1
2019-09-10,77,5
2019-09-10,78,27
2019-09-10,80,1
2019-09-10,81,1
2019-09-10,84,21
2019-09-10,85,2
2019-09-10,87,5
2019-09-10,88,11
2019-09-10,89,1
2019-09-10,91,1
2019-09-10,95,1
2019-09-10,98,4
2019-09-10,121,1
2019-09-10,133,1
2019-09-10,134,1
2019-09-10,135,1
2019-09-10,136,1
2019-09-10,137,1
2019-09-10,138,1
2019-09-10,139,1
2019-09-10,140,1
2019-09-10,141,1
2019-09-10,142,1
2019-09-10,143,1
2019-09-10,144,1
2019-09-10,145,1
2019-09-11,0,8
2019-09-11,5,8
2019-09-11,7,3
2019-09-11,10,2
2019-09-11,13,2
2019-09-11,16,4
2019-09-11,17,8
2019-09-11,18,9
2019-09-11,19,41
2019-09-11,20,1
2019-09-11,21,46
2019-09-11,22,1
2019-09-11,25,28
2019-09-11,27,1
2019-09-11,31,2
2019-09-11,33,7
2019-09-11,42,5
2019-09-11,44,3
2019-09-11,48,40
2019-09-11,49,7
2019-09-11,58,1
2019-09-11,60,2
2019-09-11,62,4
2019-09-11,69,3
2019-09-11,70,2
2019-09-11,74,3
2019-09-11,77,1
2019-09-11,80,1
2019-09-11,81,2
2019-09-11,84,1
2019-09-11,85,5
2019-09-11,87,1
2019-09-11,88,6
2019-09-11,91,1
2019-09-11,100,1
2019-09-11,110,3
2019-09-11,146,1
2019-09-11,147,1
2019-09-11,148,1
2019-09-11,149,1
2019-09-11,150,1
2019-09-11,151,2
2019-09-11,152,1
2019-09-11,153,2
2019-09-11,154,1
2019-09-11,155,1
2019-09-12,0,22
2019-09-12,3,2
2019-09-12,5,6
2019-09-12,7,4
2019-09-12,8,1
2019-09-12,10,3
2019-09-12,13,1
2019-09-12,16,2
2019-09-12,17,16
2019-09-12,18,12
2019-09-12,19,78
2019-09-12,20,1
2019-09-12,21,74
2019-09-12,22,6
2019-09-12,24,1
2019-09-12,25,22
2019-09-12,31,2
2019-09-12,33,9
2019-09-12,39,2
2019-09-12,42,4
2019-09-12,43,3
2019-09-12,44,1
2019-09-12,48,41
2019-09-12,49,5
2019-09-12,60,2
2019-09-12,62,2
2019-09-12,68,3
2019-09-12,69,2
2019-09-12,71,1
2019-09-12,73,1
2019-09-12,74,3
2019-09-12,77,6
2019-09-12,78,3
2019-09-12,80,4
2019-09-12,84,15
2019-09-12,85,2
2019-09-12,87,1
2019-09-12,88,5
2019-09-12,90,1
2019-09-12,93,1
2019-09-12,95,1
2019-09-12,98,2
2019-09-12,101,1
2019-09-12,107,1
2019-09-12,113,2
2019-09-12,126,2
2019-09-12,128,1
2019-09-12,137,1
2019-09-12,145,1
2019-09-12,156,1
2019-09-12,157,1
2019-09-12,158,1
2019-09-12,159,1
2019-09-12,160,1
2019-09-12,161,3
2019-09-12,162,1
2019-09-12,163,1
2019-09-13,0,55
2019-09-13,3,1
2019-09-13,4,2
2019-09-13,7,17
2019-09-13,8,1
2019-09-13,10,3
2019-09-13,11,2
2019-09-13,16,2
2019-09-13,17,28
2019-09-13,18,8
2019-09-13,19,86
2019-09-13,20,2
2019-09-13,21,71
2019-09-13,22,6
2019-09-13,25,38
2019-09-13,27,1
2019-09-13,30,1
2019-09-13,31,1
2019-09-13,33,3
2019-09-13,41,1
2019-09-13,42,4
2019-09-13,43,1
2019-09-13,44,5
2019-09-13,48,28
2019-09-13,49,9
2019-09-13,60,3
2019-09-13,62,4
2019-09-13,63,1
2019-09-13,68,1
2019-09-13,69,7
2019-09-13,74,2
2019-09-13,80,1
2019-09-13,81,2
2019-09-13,84,16
2019-09-13,85,1
2019-09-13,87,5
2019-09-13,88,5
2019-09-13,90,1
2019-09-13,95,1
2019-09-13,101,4
2019-09-13,102,1
2019-09-13,110,3
2019-09-13,113,1
2019-09-13,119,1
